date,ticker,open,high,low,adjusted_close,volume,company,member_2025_01_01,member_2026_01_01
2024-01-01,AAPL,185.05526464366847,186.33083440299825,178.15339449300276,179.15208435058594,275266500,Apple,True,True
2024-01-08,AAPL,180.0519165463257,184.9564073633679,179.4685238639765,183.83905029296875,238385400,Apple,True,True
2024-01-15,AAPL,180.12114148264052,189.80155831594578,178.28195930016554,189.41592407226562,259829200,Apple,True,True
2024-01-22,AAPL,190.14765958969244,194.1819954554485,189.79168833424328,190.2663116455078,255536900,Apple,True,True
2024-01-29,AAPL,189.86089348214944,190.04876929237395,177.2437171517322,183.7698516845703,325909900,Apple,True,True
2024-02-05,AAPL,186.28147270863954,189.15268181752788,183.99441577998,186.9745330810547,252715800,Apple,True,True
2024-02-12,AAPL,186.54880353717184,186.7963207929701,179.54902339896896,180.49948120117188,268128900,Apple,True,True
2024-02-19,AAPL,179.98466661183008,183.2023913936763,178.21244945609843,180.70742797851562,192448900,Apple,True,True
2024-02-26,AAPL,180.43020414938636,182.0935130405401,175.61846756104012,177.87582397460938,354385900,Apple,True,True
2024-03-04,AAPL,174.40065730734122,175.14320909566186,166.81673985747332,169.03448486328125,393262300,Apple,True,True
2024-03-11,AAPL,171.2225452923969,172.6482471529504,168.59885322457814,170.9057159423828,367119800,Apple,True,True
2024-03-18,AAPL,173.82642737551166,176.8956323134628,168.37113733503185,170.569091796875,361583900,Apple,True,True
2024-03-25,AAPL,168.8760568534027,171.87596436437357,167.76716943001003,169.77700805664062,237622700,Apple,True,True
2024-04-01,AAPL,169.48993165517973,170.21267786818663,166.55932047183134,167.8959197998047,239070900,Apple,True,True
2024-04-08,AAPL,167.3513538807638,176.58869902312352,165.45042330428592,174.7966766357422,322249800,Apple,True,True
2024-04-15,AAPL,173.61850486565382,174.87589675770565,162.45052746983075,163.36138916015625,309416500,Apple,True,True
2024-04-22,AAPL,163.87625312764519,169.63844783702467,163.1337012506925,167.61871337890625,241302700,Apple,True,True
2024-04-29,AAPL,171.6482674843819,185.14291355827163,167.43057874246836,181.55886840820312,441926300,Apple,True,True
2024-05-06,AAPL,180.78398094682734,183.50044009541958,178.87054795537182,181.47796630859375,300675100,Apple,True,True
2024-05-13,AAPL,183.8474471602678,189.45884281652792,183.03448204365023,188.23939514160156,288966500,Apple,True,True
2024-05-20,AAPL,187.7040379506617,191.16407131674936,185.02722854518905,188.34844970703125,208652100,Apple,True,True
2024-05-27,AAPL,189.8652877354721,191.3424969141133,187.4759965508847,190.59893798828125,230395500,Apple,True,True
2024-06-03,AAPL,191.24334263505682,195.2486550396786,190.86661641336562,195.19908142089844,245994400,Apple,True,True
2024-06-10,AAPL,195.20900682397587,218.30890827506707,190.499800063404,210.66513061523438,635503200,Apple,True,True
2024-06-17,AAPL,211.5375607671693,217.06964120692072,205.33132746963062,205.70806884765625,501649200,Apple,True,True
2024-06-24,AAPL,205.93606893716267,214.21436386520998,204.8157687153321,208.8111572265625,334805300,Apple,True,True
2024-07-01,AAPL,210.26855878159145,224.50523511983306,210.10002056386858,224.39617919921875,216231300,Apple,True,True
2024-07-08,AAPL,225.139706106182,231.07826834165266,221.3326883559366,228.56007385253906,287546800,Apple,True,True
2024-07-15,AAPL,234.44910332743683,235.19266232046968,220.36114741097944,222.3836212158203,278397600,Apple,True,True
2024-07-22,AAPL,225.0604317439271,225.82382321654134,212.77683771980008,216.08816528320312,242932200,Apple,True,True
2024-07-29,AAPL,215.0967286094382,223.6625266661827,213.89711357581803,217.97181701660156,296061500,Apple,True,True
