Market,Haircut
Australia50,0.35
Germany30,0.65
Italy30,1.00
Japan50,0.85
Mexico30,1.00
NASDAQ100,0.80
South Africa30,1.00
South Korea30,1.00
USA100,0.80
Spain40,1.00
Europe50,1.00
DJ30,1.00
France40,1.00
Canada50,1.00
UK30,1.00
